row,col,space_type,cheese_type,direction,requires_fruit
1,1,free_sample,,,
1,2,cheese,Soft,Silver,
1,3,cheese,Bleu,Bronze,
1,4,cheese,Bleu,Silver,
1,5,free_sample,,,
2,1,cheese,Soft,Gold,
2,2,cheese,Soft,Bronze,
2,3,cheese,Bleu,Silver,Jam
2,4,cheese,Bleu,Silver,Fruit
2,5,cheese,Bleu,Gold,
3,1,free_sample,,,
3,2,cheese,Soft,Gold,Fruit
3,3,free_sample,,,
3,4,cheese,Hard,Gold,Jam
3,5,free_sample,,,
4,1,cheese,Hard,Gold,
4,2,cheese,Soft,Bronze,Jam
4,3,cheese,Soft,Silver,Fruit
4,4,cheese,Hard,Bronze,
4,5,cheese,Bleu,Gold,
5,1,free_sample,,,
5,2,cheese,Hard,Silver,Fruit
5,3,cheese,Hard,Bronze,
5,4,cheese,Hard,Silver,
5,5,free_sample,,,
