space_id,city,cheese_type,fruit,direction,region_1,region_2,region_3
1,Toulouse,Bleu,,Silver,purple,pink,
2,Caylus,Bleu,,Gold,purple,pink,yellow
3,Montpellier,Bleu,,Bronze,pink,,
4,Nantes,Hard,,Bronze,purple,,
5,Rennes,Soft,,Silver,purple,blue,
6,Tours,Hard,,Gold,purple,white,yellow
7,Orleans,Soft,,Gold,purple,white,blue
8,Limoges,Bleu,,Bronze,yellow,,
9,Chavignol,Soft,fruit,Bronze,white,,
10,Laguiole,Hard,,Silver,yellow,,
11,Paris,Hard,,Silver,blue,white,
12,Troyes,Soft,jam,Gold,blue,white,green
13,Lille,Soft,jam,Silver,blue,green,
14,Dijon,Hard,fruit,Gold,white,green,yellow
15,Lyon,Bleu,jam,Gold,yellow,green,pink
16,Grenoble,Bleu,fruit,Silver,green,pink,
17,Point-L'Eveque,Soft,,Bronze,blue,,
18,Strasbourg,Hard,jam,Bronze,green,,
